year,amount,inflation rate
1980,1.00,0.13
1981,1.10,0.10
1982,1.17,0.06
1983,1.21,0.03
1984,1.26,0.04
1985,1.31,0.04
1986,1.33,0.02
1987,1.38,0.04
1988,1.44,0.04
1989,1.50,0.05
1990,1.59,0.05
1991,1.65,0.04
1992,1.70,0.03
1993,1.75,0.03
1994,1.80,0.03
1995,1.85,0.03
1996,1.90,0.03
1997,1.95,0.02
1998,1.98,0.02
1999,2.02,0.02
2000,2.09,0.03
2001,2.15,0.03
2002,2.18,0.02
2003,2.23,0.02
2004,2.29,0.03
2005,2.37,0.03
2006,2.45,0.03
2007,2.52,0.03
2008,2.61,0.04
2009,2.60,-0.00
2010,2.65,0.02
2011,2.73,0.03
2012,2.79,0.02
2013,2.83,0.01
2014,2.87,0.02
2015,2.88,0.00
2016,2.91,0.01
2017,2.97,0.02
2018,3.05,0.02
2019,3.10,0.02
2020,3.14,0.01
2021,3.36,0.07
